"SettlementPoint","Year","Month","HourlyVolatility"
"HB_BUSAVG","2016","January",5.48521039009743
"HB_BUSAVG","2017","January",7.47161270549378
"HB_BUSAVG","2018","January",87.5636130811834
"HB_BUSAVG","2019","January",8.13035514766979
"HB_HOUSTON","2016","January",5.648747381729
"HB_HOUSTON","2017","January",7.90435241709767
"HB_HOUSTON","2018","January",86.0152789047858
"HB_HOUSTON","2019","January",7.83086360298972
"HB_HUBAVG","2016","January",5.51231683823601
"HB_HUBAVG","2017","January",7.57770989013723
"HB_HUBAVG","2018","January",87.5051967027087
"HB_HUBAVG","2019","January",8.21035899011042
"HB_NORTH","2016","January",5.46548200016404
"HB_NORTH","2017","January",7.40032972241333
"HB_NORTH","2018","January",87.4520619814866
"HB_NORTH","2019","January",8.21323557082118
"HB_SOUTH","2016","January",5.45822490456512
"HB_SOUTH","2017","January",7.57572420780704
"HB_SOUTH","2018","January",88.6716612710684
"HB_SOUTH","2019","January",7.68010223486833
"HB_WEST","2016","January",5.55280807447687
"HB_WEST","2017","January",8.19107294472525
"HB_WEST","2018","January",87.9933644445486
"HB_WEST","2019","January",9.6846452488892
"HB_BUSAVG","2016","February",5.77717217692724
"HB_BUSAVG","2017","February",6.53827853351191
"HB_BUSAVG","2018","February",7.54131769361722
"HB_BUSAVG","2019","February",7.01301015161826
"HB_HOUSTON","2016","February",5.81165606889529
"HB_HOUSTON","2017","February",8.61231960434737
"HB_HOUSTON","2018","February",7.34741191133059
"HB_HOUSTON","2019","February",6.69686868620408
"HB_HUBAVG","2016","February",5.81259253336964
"HB_HUBAVG","2017","February",7.06681578441384
"HB_HUBAVG","2018","February",7.60757673911076
"HB_HUBAVG","2019","February",7.07301216457706
"HB_NORTH","2016","February",5.74195344177428
"HB_NORTH","2017","February",5.93439319016185
"HB_NORTH","2018","February",7.45291715635708
"HB_NORTH","2019","February",7.01878091565539
"HB_SOUTH","2016","February",5.7663100204519
"HB_SOUTH","2017","February",7.13470534116808
"HB_SOUTH","2018","February",7.79764172813144
"HB_SOUTH","2019","February",6.98671715324944
"HB_WEST","2016","February",5.92096172664695
"HB_WEST","2017","February",7.79662657534244
"HB_WEST","2018","February",8.1235622084684
"HB_WEST","2019","February",7.91089937390735
"HB_BUSAVG","2016","March",7.36849687553913
"HB_BUSAVG","2017","March",7.98859598155929
"HB_BUSAVG","2018","March",8.35799112360005
"HB_BUSAVG","2019","March",34.2638916874765
"HB_HOUSTON","2016","March",7.70473596551609
"HB_HOUSTON","2017","March",14.1239505261565
"HB_HOUSTON","2018","March",8.96803408972138
"HB_HOUSTON","2019","March",32.6440667231485
"HB_HUBAVG","2016","March",7.42626085008418
"HB_HUBAVG","2017","March",8.87079453890928
"HB_HUBAVG","2018","March",8.60446462719464
"HB_HUBAVG","2019","March",34.3597233636379
"HB_NORTH","2016","March",7.2599443467133
"HB_NORTH","2017","March",6.777892002263
"HB_NORTH","2018","March",8.217259861946
"HB_NORTH","2019","March",34.1555939731652
"HB_SOUTH","2016","March",7.56257022138164
"HB_SOUTH","2017","March",8.66664899612327
"HB_SOUTH","2018","March",7.99013498228365
"HB_SOUTH","2019","March",34.9949201924587
"HB_WEST","2016","March",7.38101028616066
"HB_WEST","2017","March",8.23245441781055
"HB_WEST","2018","March",9.62512258936122
"HB_WEST","2019","March",36.0175917555719
"HB_BUSAVG","2016","April",9.506142732088
"HB_BUSAVG","2017","April",7.76848214742276
"HB_BUSAVG","2018","April",7.36676876633684
"HB_BUSAVG","2019","April",11.8531013421685
"HB_HOUSTON","2016","April",10.26543554616
"HB_HOUSTON","2017","April",15.7042059694827
"HB_HOUSTON","2018","April",7.83076413893886
"HB_HOUSTON","2019","April",11.9996298385882
"HB_HUBAVG","2016","April",9.5742841350331
"HB_HUBAVG","2017","April",8.9386206421633
"HB_HUBAVG","2018","April",7.83802657218534
"HB_HUBAVG","2019","April",12.112938760854
"HB_NORTH","2016","April",9.31411720180484
"HB_NORTH","2017","April",6.24491784224872
"HB_NORTH","2018","April",7.02693263820054
"HB_NORTH","2019","April",11.6224363642911
"HB_PAN","2019","April",12.5595672831048
"HB_SOUTH","2016","April",9.96218928475031
"HB_SOUTH","2017","April",9.02966094016215
"HB_SOUTH","2018","April",7.69861335626968
"HB_SOUTH","2019","April",11.9081190731752
"HB_WEST","2016","April",9.25582170262405
"HB_WEST","2017","April",7.96112430936376
"HB_WEST","2018","April",10.5916751231539
"HB_WEST","2019","April",13.7604493815321
"HB_BUSAVG","2016","May",8.01722081337637
"HB_BUSAVG","2017","May",7.95269148542581
"HB_BUSAVG","2018","May",38.3144703706039
"HB_BUSAVG","2019","May",8.56029861498486
"HB_HOUSTON","2016","May",9.38017837807119
"HB_HOUSTON","2017","May",14.6421101227892
"HB_HOUSTON","2018","May",37.1099549345738
"HB_HOUSTON","2019","May",8.95367187909662
"HB_HUBAVG","2016","May",8.21496164976599
"HB_HUBAVG","2017","May",8.7939124453329
"HB_HUBAVG","2018","May",37.7576521347544
"HB_HUBAVG","2019","May",8.57787970726816
"HB_NORTH","2016","May",7.66682611970472
"HB_NORTH","2017","May",6.72261673512459
"HB_NORTH","2018","May",39.4633833454829
"HB_NORTH","2019","May",8.68846604563717
"HB_PAN","2019","May",11.3705707257539
"HB_SOUTH","2016","May",8.66136832558022
"HB_SOUTH","2017","May",9.19225198931587
"HB_SOUTH","2018","May",37.1687777290725
"HB_SOUTH","2019","May",8.27667734565329
"HB_WEST","2016","May",7.64855069244268
"HB_WEST","2017","May",6.96057076995085
"HB_WEST","2018","May",38.3069440203759
"HB_WEST","2019","May",9.238910469479
"HB_BUSAVG","2016","June",11.3054362885862
"HB_BUSAVG","2017","June",11.1148011670736
"HB_BUSAVG","2018","June",14.6580582388476
"HB_BUSAVG","2019","June",13.6515685256698
"HB_HOUSTON","2016","June",15.3243472685475
"HB_HOUSTON","2017","June",18.6020492363142
"HB_HOUSTON","2018","June",14.9383454486267
"HB_HOUSTON","2019","June",15.4538088812482
"HB_HUBAVG","2016","June",11.8617347261588
"HB_HUBAVG","2017","June",12.2151490251575
"HB_HUBAVG","2018","June",14.4187064067904
"HB_HUBAVG","2019","June",13.7888675637592
"HB_NORTH","2016","June",10.3784402797081
"HB_NORTH","2017","June",9.04812314784938
"HB_NORTH","2018","June",15.0848111872536
"HB_NORTH","2019","June",13.6024068227679
"HB_PAN","2019","June",14.5421159739509
"HB_SOUTH","2016","June",11.9845162564412
"HB_SOUTH","2017","June",13.3883157668175
"HB_SOUTH","2018","June",13.9785372968641
"HB_SOUTH","2019","June",12.9824377416734
"HB_WEST","2016","June",10.2866374977672
"HB_WEST","2017","June",8.68839524121474
"HB_WEST","2018","June",13.83954644032
"HB_WEST","2019","June",13.5217850033574
"HB_BUSAVG","2016","July",12.4060658354998
"HB_BUSAVG","2017","July",17.8388486495459
"HB_BUSAVG","2018","July",233.361695916363
"HB_BUSAVG","2019","July",26.8611572918224
"HB_HOUSTON","2016","July",14.9788766808968
"HB_HOUSTON","2017","July",22.7931643693782
"HB_HOUSTON","2018","July",233.000158883495
"HB_HOUSTON","2019","July",26.8002920863523
"HB_HUBAVG","2016","July",12.7937370819622
"HB_HUBAVG","2017","July",18.5011717551067
"HB_HUBAVG","2018","July",233.325512723292
"HB_HUBAVG","2019","July",26.8398112396248
"HB_NORTH","2016","July",11.6672873275213
"HB_NORTH","2017","July",16.6510102616241
"HB_NORTH","2018","July",233.552455247747
"HB_NORTH","2019","July",26.9166751380303
"HB_PAN","2019","July",27.365120579125
"HB_SOUTH","2016","July",13.5034719695136
"HB_SOUTH","2017","July",18.9013604367326
"HB_SOUTH","2018","July",232.884271982883
"HB_SOUTH","2019","July",26.7667624478212
"HB_WEST","2016","July",11.5483326572158
"HB_WEST","2017","July",16.1166703872939
"HB_WEST","2018","July",233.869855523698
"HB_WEST","2019","July",26.9068436119251
"HB_BUSAVG","2016","August",27.1515580878446
"HB_BUSAVG","2017","August",10.8985819132488
